variable_id,mz,rt,condition,polarity,mean_intensity
M133T862_POS,132.9582354,861.6829834,-0.033132343,positive,205715221.1
M133T895_POS,132.9583049,895.3789063,-0.005850366,positive,48257457.88
M133T1004_POS,132.9583411,1003.526489,0.008433255,positive,34317357.83
M133T949_POS,132.9583316,949.2731323,0.036611721,positive,45161598.79
M133T975_POS,132.9583495,975.3001099,-0.007286022,positive,42612248.84
M133T923_POS,132.9583262,923.2410889,0.031520283,positive,56681420.87
M133T824_POS,132.9974675,823.5671387,0.092473888,positive,58637113.94
M133T36_POS,133.0343897,35.54748917,-0.004197397,positive,40267728.09
M133T458_POS,133.064802,458.0375671,0.063760576,positive,1534582.084
M133T45_POS,133.084064,44.79296875,-0.148018876,positive,4322734.347
M133T35_POS,133.1053058,34.99768829,0.013447655,positive,4459292.37
M133T587_POS,133.1011978,587.3248901,0.055056993,positive,62513450.77
M133T604_POS,133.2928257,603.9854126,-0.301119781,positive,907559.3043
M134T925_POS,133.9662246,924.7975769,0.019109185,positive,4685325.398
M134T946_POS,133.9662284,946.1790771,-0.001254415,positive,4438574.461
M134T1004_POS,133.9662442,1004.436157,0.013382119,positive,3770519.278
M134T858_POS,133.966131,857.9675293,-0.007126179,positive,18262417.12
M134T893_POS,133.9661909,893.0110168,-0.002132602,positive,6785557.584
M134T974_POS,133.9662411,973.6492615,0.058623422,positive,4403466.925
M134T835_POS,134.0023853,835.4973145,-0.00253474,positive,36685109.54
M134T278_POS,134.0600448,278.2963562,-0.08783722,positive,7463578.759
M134T37_POS,134.0448175,37.28444481,0.045328665,positive,46635537.03
M134T191_POS,134.0600457,191.1699295,-0.063842511,positive,35168328.99
M135T970_POS,134.9586239,969.7219543,-0.060087496,positive,10779632.72
M135T866_POS,134.9586033,866.0199585,-0.047869112,positive,16661234.34
M135T906_POS,134.9586678,906.2174072,-0.009467998,positive,19107748.2
M135T115_POS,134.9964956,115.4614105,0.005969935,positive,408048571.1
M135T917_POS,134.9964629,917.0565796,-0.044067157,positive,515752550.4
M135T974_POS,134.9964732,973.7521362,0.072610819,positive,480801275.6
M135T942_POS,134.9964673,941.8861389,-0.00794234,positive,449650253.5
M135T1008_POS,134.9964789,1007.508728,0.020891559,positive,424258252.3
M135T894_POS,134.9964487,893.5231323,-0.000870726,positive,375198848.8
M135T824_POS,134.9953932,823.5703125,0.031784993,positive,101759837.7
M135T865_POS,134.9964244,865.0567017,0.053713904,positive,792960079.5
M135T36_POS,134.9964872,36.39479828,0.026675121,positive,173749880.2
